"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"2893","Barra do Sitio I - Santa Quitéria do Maranhão - MA","Municipal","Santa Quitéria do Maranhão","MA","pov. barra do sitio i","22646/2014","2018-08-28","372833","1091979","em andamento / já devia ter sido entregue"
"2894","E.M. POVOADO BAIRRO VERMELHO - Santa Inês - MA","Municipal","Santa Inês","MA","rua do campo","22643/2014","2018-04-16","432100","1221292","paralisada / já devia ter sido entregue"
"2895","Lagoa da Esperança - Santo Amaro do Maranhão - MA","Municipal","Santo Amaro do Maranhão","MA","povoado lagoa da esperança","22650/2014","2018-08-23","0","292623","em andamento / já devia ter sido entregue"
"2896","Cocal - Santo Amaro do Maranhão - MA","Municipal","Santo Amaro do Maranhão","MA","povoado cocal","22650/2014","2018-08-08","0","1221243","em andamento / já devia ter sido entregue"
"2897","Ponta Verde - Santo Amaro do Maranhão - MA","Municipal","Santo Amaro do Maranhão","MA","povoado pónta verde","22650/2014","2018-08-08","0","292623","em andamento / já devia ter sido entregue"
"2898","Travosa I - Santo Amaro do Maranhão - MA","Municipal","Santo Amaro do Maranhão","MA","travosa i","22650/2014","2018-08-28","448803","1221243","em andamento / já devia ter sido entregue"
"2899","Bebedouro - Santo Amaro do Maranhão - MA","Municipal","Santo Amaro do Maranhão","MA","povoado bebedouro","22650/2014","2018-08-07","141862","292623","paralisada / já devia ter sido entregue"
"2900","EMEF JANIO QUADROS - Anapu - PA","Municipal","Anapu","PA","vicinal tres barracas","22299/2014","2018-08-23","204400","293372","em andamento / já devia ter sido entregue"
"2901","EMEF EUZEBIO DE QUEIROZ - Anapu - PA","Municipal","Anapu","PA","br.230(transamazonica)","22299/2014","2018-08-03","216254","293370","em andamento / já devia ter sido entregue"
"2902","EMEF RISOLETA NEVES - Anapu - PA","Municipal","Anapu","PA","rua mendes jr.","22299/2014","2018-08-23","170102","293372","em andamento / já devia ter sido entregue"
"2903","EMEF BRASIL GRANDE - Anapu - PA","Municipal","Anapu","PA","br.230(transamazonica)","22299/2014","2018-08-03","183150","293372","em andamento / já devia ter sido entregue"
"2904","EMEF HORAS ALEGRES - Anapu - PA","Municipal","Anapu","PA","ramal das araras","22299/2014","2018-08-03","53933","158965","em andamento / já devia ter sido entregue"
"2905","EMEF BOM JESUS - Anapu - PA","Municipal","Anapu","PA","vicinal bom jesus","22299/2014","2018-08-03","54515","158965","em andamento / já devia ter sido entregue"
"2906","EMEF SALVATORE DEIANE - Anapu - PA","Municipal","Anapu","PA","pa 167","22299/2014","2018-08-27","50464","158965","em andamento / já devia ter sido entregue"
"2907","EMEF  SÃO RAIMUNDO NONATO - Anapu - PA","Municipal","Anapu","PA","trav,pau furado","22299/2014","2018-08-27","75437","158965","em andamento / já devia ter sido entregue"
"2908","EMEF MONTEIRO LOBATO - Anapu - PA","Municipal","Anapu","PA","vicinal virola jatobá","22299/2014","2018-08-03","170550","293372","em andamento / já devia ter sido entregue"
"2909","EMEF DRª ACY DE JESUS  PEREIRA","Municipal","Anapu","PA","rua tatajuba","22299/2014","2018-08-15","282374","1114756","em andamento / já devia ter sido entregue"
"2910","EMEF ALACID NUNES - Anapu - PA","Municipal","Anapu","PA","vicinal surubim","22299/2014","2018-08-23","76030","158965","em andamento / já devia ter sido entregue"
"2911","EMEF SANTA IZABEL - Anapu - PA","Municipal","Anapu","PA","pa 167","22299/2014","2018-08-23","117179","158965","em andamento / já devia ter sido entregue"
"2912","EMEF CRISTO É A ESPERANÇA - Anapu - PA","Municipal","Anapu","PA","trav.vila catarina","22299/2014","2018-08-03","117179","158965","em andamento / já devia ter sido entregue"
"2913","EMEF SÃO LUCAS - Anapu - PA","Municipal","Anapu","PA","vicinal são lucas","22299/2014","2018-08-03","70599","158965","em andamento / já devia ter sido entregue"
"2914","EMEF FRANSCISCO DE FARIAS - Anapu - PA","Municipal","Anapu","PA","vicinal surubim","22299/2014","2018-08-03","90817","158965","em andamento / já devia ter sido entregue"
"2915","EMEF REI SALOMÃO - Anapu - PA","Municipal","Anapu","PA","trav. vila novo horizonte","22299/2014","2018-08-23","50348","158965","em andamento / já devia ter sido entregue"
"2916","Emef Raimundo Coutinho 13° - Bragança - PA","Municipal","Bragança","PA","13° do montenegro","22294/2014","2018-04-21","0","159186","em andamento / já devia ter sido entregue"
"2917","EMEF VISTA ALEGRE - Aveiro - PA","Municipal","Aveiro","PA","comunidade de andrelândia","22301/2014",NA,"176976","1220354","paralisada"
"2918","EMEF PROFESSORA GRAZIELA - Bagre - PA","Municipal","Bagre","PA","rio mocajatuba","22303/2014","2018-12-31","58188","291725","paralisada"
"2919","ESCOLA MUCHINS - São João do Carú - MA","Municipal","São João do Carú","MA","rua principal","22661/2014",NA,"240450","1205496","paralisada"
"2920","ESCOLA SANTARÉM - São João do Carú - MA","Municipal","São João do Carú","MA","rua do campo","22661/2014","2017-07-18","240450","1205496","paralisada / já devia ter sido entregue"
"2921","077 CEI setor 7302 - São Paulo - SP","Municipal","São Paulo","SP","rua andré de almeida","11571/2014",NA,"0","1540103","não iniciada"
"2922","074 CEI setor 3903 - São Paulo - SP","Municipal","São Paulo","SP","rua doutor azevedo lima","11571/2014",NA,"0","1540103","não iniciada"
"2923","030 CEI SETOR 7607 - São Paulo - SP","Municipal","São Paulo","SP","avenida sapopemba","11571/2014",NA,"0","1540103","não iniciada"
"2924","021 CEI SETOR 4208II - São Paulo - SP","Municipal","São Paulo","SP","avenida elísio teixeira leite","11571/2014",NA,"306854","1639413","não iniciada"
"2925","022 CEI/EMEI SETOR 5805 - São Paulo - SP","Municipal","São Paulo","SP","estrada do alvarenga","11571/2014",NA,"0","4072233","não iniciada"
"2926","032 CEI SETOR 3012 - São Paulo - SP","Municipal","São Paulo","SP","rua genaro nápoli","11571/2014",NA,"0","1639413","não iniciada"
"2927","031 CEI SETOR 0307 - São Paulo - SP","Municipal","São Paulo","SP","rua osorio a. castro","11571/2014",NA,"306854","1639413","não iniciada"
"2928","079 CEI setor 1302 - São Paulo - SP","Municipal","São Paulo","SP","rua ministro lins de barros","11571/2014",NA,"0","1540103","não iniciada"
