"Usuário","ID da OBRA","Nome da Obra","Comentário","ID das Incongruências"
"TDP2018","5733","806027 - EEEF João Francisco Aruak -  - Construção - Guajará-Mirim/RO",NA,"8"
"TDP2018","5734","806027 - EEEF Didimo Graciliano de Oliveira -  - Construção - Guajará-Mirim/RO",NA,"8"
"TDP2018","5735","806027 - EEEF Xinepuabah Gavião -  - Construção - Ji-Paraná/RO",NA,"8"
"TDP2018","5736","806027 - EEEF Mahuguvehy -  - Construção - Ji-Paraná/RO",NA,"8"
"TDP2018","5737","806027 - EEEF Pasav Adoh -  - Construção - Ji-Paraná/RO",NA,"8"
"TDP2018","5738","806027 - EEEF Pay Gap -  - Construção - Ji-Paraná/RO",NA,"8"
"TDP2018","5739","806027 - EEEF João Evangelista Dias -  - Construção - Cacoal/RO",NA,"8"
"TDP2018","5751","700219 - EEEM Antônio Cândido Machado - Reforma - Terra Santa/PA",NA,"8"
"TDP2018","5757","806024 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Jacareacanga/PA",NA,"11;7;8"
"TDP2018","5758","806024 - Esp Edu Urbano II - São Francisco - Jacareacanga/PA",NA,"11;7;8"
"TDP2018","5759","806024 - Espaço Educ Urbano II - 04 Salas  - Construção - Oriximiná /PA",NA,"9;7;8"
"TDP2018","5760","806024 - Espaço Educ Rural - 02 Salas - Construção - Oriximiná/PA",NA,"9;7;8"
"TDP2018","5763","806024 - Espaço Educ Urbano II - 04 Salas - Construção - Capitão Poço /PA",NA,"9;7;8"
"TDP2018","5764","806024 - Espaço Educ Urbano II - 04 Salas - Construção - Capitão Poço /PA",NA,"9;7;8"
"TDP2018","5765","806024 - Espaço Educ Rural - 02 Salas - Construção - Capitão Poço /PA",NA,"9;7;8"
"TDP2018","5766","806024 - Espaço Educ Rural - 02 Salas - Construção - Capitão Poço /PA",NA,"8"
"TDP2018","5767","806024 - Espaço Educ Rural - 02 Salas - Construção - Capitão Poço /PA",NA,"9;7;8"
"TDP2018","5768","806024 - Espaço Educ Urbano II - 06 Salas - Construção - Paragominas /PA",NA,"9;8"
"TDP2018","5769","806024 - Espaço Educativo Rural - 02 Salas - Tomé Açú /PA",NA,"8"
"TDP2018","5770","806024 - Espaço Educ Rural - 02 Salas - Construção - Tomé Açú /PA",NA,"8"
"TDP2018","5771","806024 - Espaço Educ Rural - 02 Salas - Construção - Tomé Açú /PA",NA,"8"
"TDP2018","5772","806024 - Espaço Educ Urbano II - 04 Salas  - Construção - São Geraldo do Araguaia/PA",NA,"8"
"TDP2018","5788","700219 - EEEFM 21 de Abril - Ampliação e Reforma - Palestina do Pará /PA",NA,"9;7;8"
"TDP2018","5845","700222 - Espaço Educativo Urbano I - 08 salas -  - Construção - Acopiara/CE",NA,"8"
"TDP2018","5850","700222 - Espaço Educativo Urbano II - 06 salas - Quixeramobim /CE",NA,"8"
"TDP2018","5854","700222 - Espaço Educativo Urbano I - 08 salas -  - Construção - Ocara/CE",NA,"7;8"
"TDP2018","5855","700222 - Espaço Educativo Urbano II - 06 salas -  - Construção - Itapiúna/CE",NA,"8"
"TDP2018","5862","700222 - Espaço Educativo Urbano I - 10 salas -  - Construção - Irauçuba/CE",NA,"8"
"TDP2018","5867","700222 - Espaço Educativo Urbano I - Rafael A - Sobral/CE",NA,"8"
"TDP2018","5876","806025 - Espaço Educativo Urbano II - 04 Salas  - Construção - Caucaia/CE",NA,"8"
"TDP2018","5900","806044 - Projeto Padrão SEDUC/PB - 07 salas - Construção - Jandaíra/PB",NA,"8"
"TDP2018","5901","806044 - Projeto Padrão SEDUC/PB - 07 salas -  - Construção - Damião/PB",NA,"8"
"TDP2018","5902","806044 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Marcação/PB",NA,"8"
"TDP2018","5903","806044 - Projeto Padrão SEDUC/PB - 07 salas -  - Construção - João Pessoa/PB",NA,"8"
"TDP2018","5904","806044 - Projeto Padrão SEDUC/PB - 04 salas -  - Construção - Vieirópolis/PB",NA,"8"
"TDP2018","5905","806044 - Projeto Padrão SEDUC/PB - 07 salas - Sossego/PB",NA,"8"
"TDP2018","5910","806044 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Tenório/PB",NA,"8"
"TDP2018","5913","806044 - Projeto Padrão SEDUC/PB - 07 salas -  - Construção - Sapé/PB",NA,"8"
"TDP2018","5916","806044 - Projeto Padrão SEDUC/PB - 04 salas -  - Construção - São Domingos de Pombal/PB",NA,"8"
"TDP2018","5917","806044 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Triunfo/PB",NA,"8"
"TDP2018","5918","806044 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Imaculada/PB",NA,"8"
"TDP2018","5919","806044 - Espaço Educativo Urbano II - 06 Salas  -  - Construção - Bom Sucesso/PB",NA,"8"
"TDP2018","5920","806044 - Projeto Padrão SEDUC/PB - 07 salas - Construção - Queimadas/PB",NA,"8"
"TDP2018","5921","806044 - Projeto Padrão SEDUC/PB - 07 salas -  - Construção - Cabedelo/PB",NA,"8"
"TDP2018","5939","700086 - EE Teresa Torres - Ampl/Ref - Itapetim/PE",NA,"8"
"TDP2018","5942","700086 - EE Santa Terezinha - Am/Ref - Santa Terezinha/PE",NA,"8"
"TDP2018","5970","700086 - EE Prof. Tiburcio Valeriano Gomes Lima - Ampl/Ref",NA,"8"
"TDP2018","5976","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Jatobá/PE",NA,"8"
"TDP2018","5977","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Pesqueira/PE",NA,"8"
"TDP2018","5978","806015 - Espaço E Rural - Serra do Periquito - Constr",NA,"8"
"TDP2018","5979","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Buíque/PE",NA,"8"
"TDP2018","5980","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Pesqueira/PE",NA,"8"
"TDP2018","5981","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Pesqueira/PE",NA,"8"
"TDP2018","5983","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Pesqueira/PE",NA,"8"
"TDP2018","5986","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Buíque/PE",NA,"8"
"TDP2018","5989","806015 - Espaço Educativo Rural - 02 Salas -  - Construção - Buíque/PE",NA,"8"
"TDP2018","6002","700086 - EE Augusta Cordeiro de Melo - Reforma - Calçado/PE",NA,"8"
"TDP2018","6021","710327 - Escola Municipal O Ateneu - Campo Largo/PR",NA,"8"
"TDP2018","6037","806060 - Espaço Educativo Urbano I - 12 Salas - Taquarana/AL",NA,"8"
"TDP2018","6038","806060 - EE Urbano I - 12 Salas - Senador Rui Palmeira/AL",NA,"8"
"TDP2018","6040","806060 - Espaço Educativo Urbano I - 12 salas - Maragogi/AL",NA,"8"
"TDP2018","6044","806060 - Espaço Educativo Urbano I - 12 Salas - Pariconha/AL",NA,"8"
"TDP2018","6045","806056 - Espaço Educativo Urbano I - 10 salas - Construção",NA,"8"
"TDP2018","6046","806056 - Espaço Educativo Urbano I - 10 salas - Construção",NA,"8"
"TDP2018","6047","806056 - Espaço Educativo Urbano I - 10 salas - Construção",NA,"8"
"TDP2018","6245","806076 - Espaço Educativo Urbano II - 06 Salas -  - Construção - São José do Jacuípe/BA",NA,"8"
"TDP2018","6252","806076 - Espaço Educativo Urbano II - 06 Salas -  - Construção - Barra/BA",NA,"8"
"TDP2018","6259","806076 - Espaço Educativo Urbano II - 06 Salas -  - Construção - Juazeiro/BA",NA,"8"
"TDP2018","6262","806076 - Espaço Educativo Urbano II - 06 Salas -  - Construção - Alagoinhas/BA",NA,"8"
"TDP2018","6266","700285 - Espaço Educativo Urbano II - 04 Salas -  - Construção - Malhada/BA",NA,"8"
"TDP2018","6267","700285 - Espaço Educativo Rural - 02 Salas -  - Construção - Ipirá/BA",NA,"8"
"TDP2018","6268","700285 - Espaço Educativo Rural - 02 Salas -  - Construção - Ipirá/BA",NA,"8"
"TDP2018","6269","700285 - Espaço Educativo Rural - 02 Salas - Construção - Ipir/BA",NA,"8"
"TDP2018","6332","806020 - E.E.INDÍGENA ALDEIA PATAXÓ - 06SALAS -Pau Brasil/BA",NA,"8"
"TDP2018","6333","806020 - E.INDÍGENA BRAÇO DA DÚVIDA -02SALAS - Pau Brasil/BA",NA,"8"
"TDP2018","6334","806020 - E.INDÍGENA - ÁGUA VERMELHA -02SALAS - Pau Brasil/BA",NA,"8"
"TDP2018","6335","806020 - E. INDÍGENA - PANELÃO - 02 Salas - Pau Brasil/BA",NA,"8"
"TDP2018","6337","806020 - E. INDÍGENA ANGELO P. XAVIER - 06 Salas - Glória/BA",NA,"8"
